030604339;304;26;27;0;40;44;0
030604340;304;26;42;0;40;67;0
030604341;304;26;64;0;40;113;0
030604342;304;26;37;0;40;38;0
030604343;304;26;29;2;40;60;2
030604344;304;26;29;0;40;36;0
030604345;304;26;38;0;40;59;0
030604346;304;26;27;0;40;60;0
030604347;304;26;64;0;40;81;0
030604348;304;26;34;0;40;42;0
030604349;304;26;41;0;40;32;0
030604350;304;26;74;1;40;76;0
030604351;304;26;41;0;40;66;0
030605352;305;14;122;0;40;171;0
030605353;305;14;85;0;40;93;2
030605354;305;14;91;1;40;136;4
030605355;305;14;97;0;40;120;0
030605356;305;14;101;0;40;122;0
030605357;305;14;152;0;40;107;0
030605358;305;14;98;1;40;80;0
030605359;305;14;26;0;40;44;0
030605360;305;14;42;0;40;62;0
030605361;305;14;11;2;40;117;20
030605362;305;14;28;0;40;70;0
030605363;305;14;74;0;40;118;0
030605364;305;14;142;3;40;106;1
030605365;305;14;84;0;40;77;1
030605366;305;14;82;0;40;128;0
030605367;305;14;75;0;40;112;2
030605368;305;14;113;0;40;109;0
030605369;305;14;107;1;40;122;0
030605370;305;14;96;0;40;112;0
030605371;305;14;52;2;40;128;0
030605372;305;14;7;0;40;110;0
030605373;305;14;61;0;40;86;3
030605374;305;14;68;0;40;130;0
030605375;305;14;68;0;40;96;0
030605376;305;14;74;0;40;99;0
030605377;305;14;91;1;40;79;2
162201001;1601;3;84;0;6;87;0
162201002;1601;3;101;0;6;80;0
162201003;1601;3;70;0;6;59;0
162201004;1601;3;106;0;6;99;0
162201005;1601;3;76;0;6;76;0
162201006;1601;3;74;0;6;77;0
162201007;1601;3;90;1;6;97;3
162201008;1601;3;167;0;6;118;0
162201009;1601;3;166;0;6;110;0
162201010;1601;3;87;0;6;77;0
162201011;1601;3;64;0;6;62;0
162201012;1601;3;124;0;6;111;0
162201013;1601;3;137;0;6;146;0
162201014;1601;3;123;0;6;94;0
162201015;1601;3;78;1;6;82;0
162201016;1601;3;116;8;6;110;6
162201017;1601;3;92;0;6;97;0
162201018;1601;3;63;0;6;72;0
162201019;1601;3;108;10;6;115;9
162201020;1601;3;116;0;6;73;0
162201021;1601;3;153;1;6;113;1
162201022;1601;3;94;0;6;148;0
162201023;1601;3;130;0;6;121;0
162201024;1601;3;122;0;6;105;0
162201025;1601;3;70;1;6;73;0
162201026;1601;3;109;0;6;118;0
162201027;1601;3;177;0;6;118;1
162201028;1601;3;209;0;6;143;0
162201029;1601;3;132;0;6;104;0
162201030;1601;3;166;13;6;156;10
162201031;1601;3;83;7;6;64;8
162201032;1601;3;104;0;6;101;0
